名稱,藝人,作曲者,專輯,分類,作品,樂章編號,樂章,樂章名稱,類型,大小,時間長度,光碟編號,光碟數量,音軌編號,音軌數量,年份,修改日期,加入的日期,位元率,取樣頻率,音量調整,種類,等化器,註解,播放次數,最近播放,略過次數,上次略過的日期,喜好程度,位置
orion,米津玄師,Kenshi Yonezu,orion - Single,,,,,,J-Pop,9957899,283,1,1,1,3.0,2017.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/28 00:50,,,,
Flowerwall,米津玄師,Kenshi Yonezu,Bremen,,,,,,J-Pop,10364052,298,1,1,4,14.0,2015.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,2.0,2025/5/27 22:43,,,,
夜に駆ける,YOASOBI,Ayase,夜に駆ける - Single,,,,,,J-Pop,9849556,261,1,1,1,1.0,2019.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,4.0,2025/5/27 22:19,,,,
カイト,嵐,Kenshi Yonezu,This is 嵐,,,,,,J-Pop,9882942,283,1,1,7,11.0,2020.0,2022/12/28 12:52,2025/2/26 14:07,256,44100,,Apple Music AAC音訊檔,,,11.0,2025/3/27 00:21,,,,
FUSHIGI,星野源,Gen Hoshino,FUSHIGI - Single,,,,,,Alternative,10211756,290,1,1,1,1.0,2021.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,6.0,2025/5/28 04:14,,,,
Tokiyo,星野源,Gen Hoshino,YELLOW DANCER,,,,,,J-Pop,8919940,255,1,1,1,14.0,2015.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,5.0,2025/5/28 02:17,,,,
SUN,Gen Hoshino,Gen Hoshino,YELLOW DANCER,,,,,,J-Pop,8530854,241,1,1,3,14.0,2015.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,3.0,2024/8/8 00:38,,,,
Pale Blue,Kenshi Yonezu,Kenshi Yonezu,Pale Blue - Single,,,,,,J-Pop,10514970,296,1,1,1,3.0,2021.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,2.0,2024/8/6 20:58,,,,
Happy End,上白石萌音×内澤崇仁(androp),Takahito Uchisawa,Happy End - Single,,,,,,J-Pop,10329034,288,1,1,1,1.0,2019.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,2.0,2024/8/9 23:39,,,,
Christmas Song,back number,Iyori Shimizu,Christmas Song - EP,,,,,,J-Pop,11887999,340,1,1,1,6.0,2015.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,4.0,2025/5/29 16:56,,,,
"Merry-Go-Round (from ""Howl's Moving Castle"")",Joe Hisaishi,Joe Hisaishi,Dream Songs: The Essential Joe Hisaishi,,,,,,Classical Crossover,11412663,309,2,2,16,,2005.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,4.0,2025/5/28 00:37,,,,
Yurei Tokyo,Ayase,Ayase,Yorunaderu Menou / Yurei Tokyo - Single,,,,,,J-Pop,7776959,210,1,1,2,2.0,2021.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,3.0,2024/8/8 14:23,,,,
六等星の夜 Magic Blue ver.,Aimer,Masahiro Tobiuchi,ONE / 花の唄 / 六等星の夜 Magic Blue ver. - EP,,,,,,J-Pop,12225889,350,1,1,3,4.0,2017.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,4.0,2025/5/28 02:58,,,,
Nijikan Dake No Vacance (feat. Sheena Ringo),宇多田ヒカル,Hikaru Utada,Fantôme,,,,,,J-Pop,10105846,282,1,1,4,11.0,2016.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,4.0,2025/5/28 03:52,,,,
WASURENA,Awesome City Club,"ATAGI, Ryo Nagano & PORIN",Grower,,,,,,Rock,8924888,251,1,1,1,10.0,2021.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,5.0,2024/10/13 23:46,,,,
Glory Days,CNBLUE,"Erik Lidbom, Jung Yong Hwa & youwich",Euphoria,,,,,,Rock,9546375,270,1,1,2,10.0,2016.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,3.0,2024/8/7 01:21,,,,
Kataomoi,Aimer,Takahito Uchisawa,daydream,,,,,,J-Pop,7368851,207,1,1,7,13.0,2016.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,4.0,2024/8/7 01:36,,,,
Comedy,Gen Hoshino,Gen Hoshino,Comedy - Single,,,,,,Alternative,8325603,230,1,1,1,1.0,2022.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,5.0,2024/8/12 01:38,,,,
odoriko,VAUNDY,VAUNDY,odoriko - Single,,,,,,Rock,8161482,230,1,1,1,1.0,2021.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,4.0,2024/8/5 22:48,,,,
Hadaka No Yusha,VAUNDY,VAUNDY,Hadaka no yusha - EP,,,,,,J-Pop,7176423,201,1,1,1,4.0,2022.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,5.0,2024/8/9 05:21,,,,
BOY,King Gnu,Daiki Tsuneta,BOY - Single,,,,,,Alternative,8897171,231,1,1,1,1.0,2021.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,5.0,2025/5/27 22:53,,,,
Michi,Hikaru Utada,Hikaru Utada,Fantôme,,,,,,J-Pop,7903246,216,1,1,1,11.0,2016.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,3.0,2024/8/9 04:35,,,,
Ref:rain,Aimer,Masahiro Tobiuchi,Penny Rain,,,,,,J-Pop,10401248,289,1,1,7,10.0,2019.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,3.0,2024/8/7 01:29,,,,
コイワズライ,Aimer,Masahiro Tobiuchi,Sun Dance,,,,,,J-Pop,8511635,235,1,1,5,10.0,2019.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,3.0,2025/5/27 21:45,,,,
M八七,米津玄師,Kenshi Yonezu,M八七 - Single,,,,,,J-Pop,9287814,263,1,1,1,3.0,2022.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,4.0,2025/5/28 03:31,,,,
Dear Diary,Namie Amuro,Matthew Tishler/Felicia Barton/Aaron Benward/TIGER,Dear Diary / Fighter - EP,,,,,,J-Pop,7400838,209,1,1,1,4.0,2016.0,2022/12/28 12:52,,256,44100,,AAC音訊檔,,,2.0,,,,,
群青,YOASOBI,Ayase,群青 - Single,,,,,,J-Pop,9011994,248,1,1,1,1.0,2020.0,2022/12/28 12:52,,256,44100,,Apple Music AAC音訊檔,,,6.0,2025/5/28 01:44,,,,
napori,Vaundy,VAUNDY,strobo,,,,,,Rock,7529870,203,1,1,9,11.0,2020.0,2022/12/28 12:52,2023/3/24 22:39,256,44100,,Apple Music AAC音訊檔,,,21.0,2025/6/3 12:14,,,,
Koikaze ni Nosete,Vaundy,VAUNDY,Koikaze ni Nosete - Single,,,,,,Rock,9171394,255,1,1,1,1.0,2022.0,2022/12/28 12:52,2023/3/24 22:39,256,44100,,Apple Music AAC音訊檔,,,21.0,2025/6/3 13:30,,,,
Tokyo Flash,Vaundy,VAUNDY,strobo,,,,,,Rock,9241725,258,1,1,3,11.0,2019.0,2022/12/28 12:52,2023/3/24 22:39,256,44100,,Apple Music AAC音訊檔,,,18.0,2025/6/3 19:16,,,,
うるうびと,RADWIMPS,Nodayouzirou,余命10年 〜Original Soundtrack〜,,,,,,J-Pop,11265549,319,1,1,30,30.0,2022.0,2022/12/28 12:52,2023/3/9 00:04,256,44100,,Apple Music AAC音訊檔,,,11.0,2025/2/26 12:18,1.0,2025/5/4 21:11,,
鋼の羽根,RADWIMPS,Nodayouzirou,FOREVER DAZE,,,,,,Rock,11331786,321,1,1,13,14.0,2021.0,2022/12/28 12:52,2023/3/24 22:39,256,44100,,Apple Music AAC音訊檔,,,11.0,2025/5/28 01:26,,,,
そっけない,RADWIMPS,Nodayouzirou,Anti Anti Generation,,,,,,Rock,13463139,392,1,1,7,17.0,2018.0,2022/12/28 12:52,2023/3/24 22:39,256,44100,,Apple Music AAC音訊檔,,,19.0,2025/5/28 17:16,,,,
FAMILIA,ꉈꀧ꒒꒒ꁄꍈꍈꀧ꒦ꉈ ꉣꅔꎡꅔꁕꁄ,Daiki Tsuneta,THE MILLENNIUM PARADE,,,,,,Alternative,10082743,284,1,1,14,14.0,2021.0,2022/12/28 12:52,2023/3/24 22:39,256,44100,,Apple Music AAC音訊檔,,,17.0,2025/5/27 16:55,,,,
Dancing On The Inside,星野源,Gen Hoshino,Dancing On The Inside - Single,,,,,,J-Pop,2497888,57,1,1,1,1.0,2020.0,2022/12/28 12:52,2023/3/24 22:39,256,44100,,Apple Music AAC音訊檔,,,15.0,2025/5/31 12:40,1.0,2023/4/7 10:39,,
Heart,愛繆,Aimyon,Heart - EP,,,,,,J-Pop,9326081,271,1,1,1,4.0,2021.0,2022/12/28 12:52,2023/3/24 22:39,256,44100,,Apple Music AAC音訊檔,,,18.0,2025/4/15 13:10,,,,
Soumatou,Vaundy,VAUNDY,Soumatou - Single,,,,,,Rock,10464796,297,1,1,1,1.0,2022.0,2022/12/28 12:52,2023/3/24 22:39,256,44100,,Apple Music AAC音訊檔,,,15.0,2025/6/3 13:46,,,,
tamayura,Awesome City Club,ATAGI & ESME MORI,Grower,,,,,,Rock,7639696,214,1,1,2,10.0,2021.0,2022/12/28 12:52,2023/3/24 22:39,256,44100,,Apple Music AAC音訊檔,,,14.0,2025/1/8 10:25,,,,
Ain't Nobody Know,星野源,Gen Hoshino & Tom Misch,Same Thing - EP,,,,,,J-Pop,7581483,211,1,1,3,4.0,2019.0,2022/12/28 12:52,2023/3/24 22:39,256,44100,,Apple Music AAC音訊檔,,,13.0,2025/5/28 17:53,,,,
I Wanna Be Your Ghost (feat. Ghosts),星野源,Gen Hoshino,I Wanna Be Your Ghost (feat. Ghosts) - Single,,,,,,Alternative,8147954,225,1,1,1,1.0,2022.0,2022/12/28 12:52,2023/3/24 22:39,256,44100,,Apple Music AAC音訊檔,,,19.0,2025/5/28 04:05,,,,
hanauranai,Vaundy,VAUNDY,hanauranai - Single,,,,,,Rock,7574414,207,1,1,1,1.0,2021.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,23.0,2025/6/3 18:49,,,,
それを愛と呼ぶなら,Uru,Uru,それを愛と呼ぶなら - EP,,,,,,J-Pop,10367402,294,1,1,1,6.0,2022.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,10.0,2025/5/28 01:49,,,,
心のそばに,Belle,Taisei Iwasaki,Belle (Original Motion Picture Soundtrack),,,,,,Soundtrack,10722261,303,1,1,19,30.0,2021.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,9.0,2025/5/28 13:29,,,,
クロノスタシス,BUMP OF CHICKEN,Motoo Fujiwara,クロノスタシス - Single,,,,,,J-Pop,12122556,339,1,1,1,1.0,2022.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,15.0,2025/5/28 03:08,1.0,2024/7/1 10:43,,
人間ごっこ,RADWIMPS,Nodayouzirou,人間ごっこ - Single,,,,,,Rock,9352412,257,1,1,1,1.0,2022.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,14.0,2025/5/28 15:04,3.0,2025/4/25 11:08,,
棒人間,RADWIMPS,Nodayouzirou,人間開花,,,,,,Rock,10045587,283,1,1,9,15.0,2016.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,15.0,2025/5/29 12:45,,,,
雨燦々,King Gnu,Daiki Tsuneta,雨燦々 - Single,,,,,,Alternative,10413547,295,1,1,1,1.0,2022.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,17.0,2025/5/30 13:52,,,,
Mabataki,Vaundy,VAUNDY,Mabataki - Single,,,,,,Rock,8679769,243,1,1,1,1.0,2022.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,16.0,2025/6/3 18:59,,,,
Horoyoi,Sanghee,Sanghee,Horoyoi - Single,,,,,,J-Pop,7366218,203,1,1,1,1.0,2022.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,20.0,2025/5/27 20:53,1.0,2025/3/26 15:59,,
Limbo,春野,Haruno & TOMGGG,Limbo - Single,,,,,,R&B/Soul,7021958,195,1,1,1,1.0,2022.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,13.0,2025/2/20 09:29,,,,
くびったけ,yama,VAUNDY,くびったけ - Single,,,,,,J-Pop,8374277,234,1,1,1,1.0,2022.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,14.0,2025/5/28 13:33,,,,
左右盲,Yorushika,n-buna,Left-Right Confusion - Single,,,,,,J-Pop,9414808,267,1,1,1,1.0,2022.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,15.0,2025/5/28 12:40,1.0,2023/10/3 02:26,,
すずめ (feat. 十明),RADWIMPS,Nodayouzirou,すずめ (feat. 十明) - Single,,,,,,Rock,8492581,236,1,1,1,1.0,2022.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,20.0,2025/5/28 18:57,1.0,2024/1/9 10:06,,
Prayer X,King Gnu,Daiki Tsuneta,Prayer X - Single,,,,,,Alternative,7277273,197,1,1,1,1.0,2018.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,19.0,2025/5/28 04:33,,,,
Sakayume,King Gnu,Daiki Tsuneta,Sakayume - Single,,,,,,Alternative,10690706,307,1,1,1,1.0,2021.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,19.0,2024/12/19 10:49,,,,
白日,King Gnu,Daiki Tsuneta,CEREMONY,,,,,,Alternative,9693390,276,1,1,5,12.0,2019.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,19.0,2025/5/28 16:24,2.0,2025/4/22 13:32,,
Sanmon Shosetsu,King Gnu,Daiki Tsuneta,Sanmon Shosetsu - Single,,,,,,Alternative,9671493,280,1,1,1,1.0,2020.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,15.0,2025/5/28 02:40,,,,
Don't Stop the Clocks,King Gnu,Daiki Tsuneta,Sympa,,,,,,Alternative,5020286,136,1,1,7,13.0,2019.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,27.0,2025/5/29 11:50,,,,
The hole,King Gnu,Daiki Tsuneta,Sympa,,,,,,Alternative,9651407,275,1,1,12,13.0,2019.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,29.0,2025/5/28 04:09,,,,
カメレオン,King Gnu,Daiki Tsuneta,カメレオン - Single,,,,,,Alternative,6995053,193,1,1,1,1.0,2022.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,22.0,2025/5/27 22:15,,,,
白日,King Gnu,Daiki Tsuneta,白日 - Single,,,,,,Alternative,9643586,274,1,1,1,1.0,2019.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,19.0,2025/5/28 13:42,,,,
色彩,yama,WhaleDontSleep,色彩 - Single,,,,,,J-Pop,7037488,192,1,1,1,1.0,2022.0,2022/12/28 12:52,2023/3/24 22:40,256,44100,,Apple Music AAC音訊檔,,,21.0,2025/4/29 22:39,,,,
光るとき,羊文学,Moeka Shiotsuka,光るとき - Single,,,,,,Rock,12229800,351,1,1,1,1.0,2022.0,2022/12/28 12:52,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,18.0,2025/5/27 22:04,,,,
Kanata Haluka,RADWIMPS,Yojiro Noda,鈴芽之旅,,,,,,Rock,12531873,355,1,1,26,29.0,2022.0,2022/12/28 12:52,2023/3/6 21:20,256,44100,,Apple Music AAC音訊檔,,,28.0,2025/5/28 00:59,,,,
hitomibore,Vaundy,VAUNDY,hitomibore - Single,,,,,,Rock,9183613,257,1,1,1,1.0,2022.0,2022/12/28 12:52,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,20.0,2025/6/3 13:37,,,,
One Last Kiss,宇多田ヒカル,Hikaru Utada,One Last Kiss,,,,,,J-Pop,9208763,252,1,1,1,8.0,2020.0,2022/12/28 12:52,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,28.0,2025/5/28 13:08,,,,
Week End,星野源,Gen Hoshino,YELLOW DANCER,,,,,,J-Pop,9490597,270,1,1,2,14.0,2015.0,2022/12/28 12:52,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,29.0,2025/5/28 03:24,,,,
NIGHT DANCER,imase,imase,NIGHT DANCER - Single,,,,,,J-Pop,7492471,210,1,1,1,1.0,2022.0,2022/12/28 12:52,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,35.0,2025/4/22 14:13,1.0,2023/10/3 02:17,,
Escape,imase,imase,Escape - Single,,,,,,J-Pop,6939190,191,1,1,1,1.0,2022.0,2022/12/28 12:52,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,39.0,2025/5/28 18:05,1.0,,,
Aimai de iiyo,羊文学,Moeka Shiotsuka,POWERS,,,,,,Rock,10103936,273,1,1,11,12.0,2020.0,2022/12/28 12:52,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,23.0,2025/5/27 14:45,1.0,2024/6/27 20:24,,
First Love (Remastered 2014),宇多田ヒカル,Hikaru Utada,First Love (Remastered 2014),,,,,,J-Pop,9543694,257,1,1,4,11.0,1999.0,2022/12/28 12:52,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,27.0,2025/5/28 17:24,,,,
Kaiju no Hanauta,Vaundy,VAUNDY,strobo,,,,,,Rock,8051241,224,1,1,4,11.0,2020.0,2023/1/1 18:55,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,31.0,2025/6/3 19:22,3.0,2023/12/6 02:18,,
おもかげ (produced by Vaundy),"milet, Aimer & Lilas Ikuta",VAUNDY,おもかげ (produced by Vaundy) - Single,,,,,,J-Pop,6785361,188,1,1,1,1.0,2021.0,2023/1/1 19:01,2023/3/24 22:38,256,44100,,Apple Music AAC音訊檔,,,126.0,2025/5/27 21:17,1.0,2023/6/13 21:31,,
おもかげ -self cover-,Vaundy,VAUNDY,裸の勇者 - EP,,,,,,J-Pop,7407872,209,1,1,4,4.0,2022.0,2023/1/1 19:01,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,53.0,2025/6/3 18:45,1.0,,,
Shiwaawase,Vaundy,VAUNDY,Shiwaawase - Single,,,,,,Rock,10180274,278,1,1,1,1.0,2021.0,2023/1/5 23:36,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,45.0,2025/6/3 19:12,1.0,,,
mabuta,Vaundy,VAUNDY,mabuta - Single,,,,,,Rock,9227541,256,1,1,1,1.0,2023.0,2023/1/10 10:59,2023/3/24 22:38,256,44100,,Apple Music AAC音訊檔,,,44.0,2025/6/3 13:26,1.0,2024/3/24 22:08,,
okitegami,Vaundy,VAUNDY,okitegami - Single,,,,,,Rock,8781431,239,1,1,1,1.0,2022.0,2023/1/12 16:34,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,42.0,2025/6/3 13:41,1.0,2023/4/21 18:28,,
地球儀 (with Vaundy),Aimer,VAUNDY,Walpurgis,,,,,,J-Pop,8304459,232,1,1,5,14.0,2021.0,2023/1/17 17:13,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,41.0,2025/5/28 00:41,,,,
君に夢中,宇多田ヒカル,Hikaru Utada,君に夢中 - Single,,,,,,J-Pop,9111138,257,1,1,1,1.0,2021.0,2023/2/2 23:12,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,38.0,2025/4/15 12:43,1.0,2024/4/26 02:04,,
初恋,宇多田ヒカル,Hikaru Utada,初恋,,,,,,J-Pop,9894131,280,1,1,3,12.0,2018.0,2023/2/2 23:12,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,39.0,2025/5/28 01:36,,,,
あなた,宇多田ヒカル,Hikaru Utada,初恋,,,,,,J-Pop,10232307,277,1,1,2,12.0,2017.0,2023/2/2 23:12,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,33.0,2025/4/15 12:30,1.0,2024/11/16 17:56,,
Pop Virus,星野源,Gen Hoshino,POP VIRUS,,,,,,J-Pop,6524639,182,1,1,1,14.0,2018.0,2023/2/7 00:16,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,26.0,2025/5/28 18:53,,,,
Fukakoryoku,Vaundy,VAUNDY,strobo,,,,,,Rock,7450290,200,1,1,6,11.0,2019.0,2023/2/7 10:24,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,37.0,2025/6/3 12:10,,,,
NakiJizo,Vaundy,VAUNDY,NakiJizo - Single,,,,,,Rock,5658620,149,1,1,1,1.0,2021.0,2023/2/7 10:31,2023/3/24 22:41,256,44100,,Apple Music AAC音訊檔,,,34.0,2025/6/3 13:33,,,,
